統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,新竹市東 區,三民里,2300,6368,3006,3362,34,34,35,35,40,40,35,35,35,35,38,38,50,50,50,50,37,37,42,42,45,45,57,57,61,61,47,47,63,63,48,48,46,46,50,50,57,57,51,51,40,40,37,37,45,45,46,46,42,42,37,37,35,35,37,37,24,24,31,31,34,34,48,48,55,55,29,29,38,38,36,36,37,37,39,39,42,42,41,41,35,35,36,36,44,44,44,44,49,49,54,54,46,46,36,36,56,56,49,49,53,53,40,40,36,36,41,41,40,40,43,43,33,33,41,41,46,46,32,32,43,43,34,34,27,27,33,33,24,24,24,24,18,18,11,11,13,13,11,11,15,15,14,14,13,13,12,12,12,12,12,12,16,16,9,9,14,14,12,12,9,9,9,9,10,10,14,14,10,10,6,6,4,4,2,2,7,7,7,7,2,2,4,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹市東 區,下竹里,234,625,316,309,5,5,6,6,8,8,4,4,2,2,3,3,1,1,3,3,1,1,3,3,2,2,2,2,3,3,0,0,6,6,4,4,2,2,1,1,2,2,2,2,1,1,3,3,6,6,5,5,4,4,2,2,5,5,3,3,0,0,5,5,9,9,8,8,7,7,3,3,12,12,6,6,9,9,7,7,10,10,3,3,2,2,3,3,4,4,3,3,4,4,3,3,3,3,5,5,3,3,8,8,6,6,2,2,2,2,5,5,2,2,3,3,4,4,5,5,4,4,3,3,1,1,7,7,4,4,6,6,4,4,1,1,5,5,2,2,3,3,0,0,1,1,6,6,3,3,4,4,2,2,2,2,3,3,2,2,3,3,0,0,5,5,3,3,1,1,2,2,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹市東 區,中正里,308,790,372,418,7,7,3,3,5,5,4,4,4,4,2,2,4,4,8,8,8,8,6,6,9,9,7,7,4,4,8,8,4,4,6,6,5,5,5,5,5,5,6,6,9,9,3,3,7,7,4,4,2,2,3,3,3,3,5,5,5,5,3,3,2,2,3,3,5,5,5,5,3,3,4,4,1,1,9,9,2,2,6,6,6,6,4,4,4,4,4,4,5,5,0,0,4,4,13,13,5,5,7,7,3,3,5,5,5,5,4,4,5,5,8,8,5,5,7,7,6,6,2,2,7,7,4,4,8,8,7,7,5,5,2,2,3,3,1,1,2,2,5,5,3,3,4,4,2,2,2,2,0,0,2,2,2,2,1,1,0,0,2,2,6,6,2,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹市東 區,仙宮里,627,1520,765,755,8,8,7,7,12,12,9,9,9,9,9,9,6,6,9,9,8,8,3,3,4,4,9,9,13,13,7,7,11,11,15,15,13,13,12,12,8,8,10,10,10,10,9,9,10,10,8,8,15,15,8,8,12,12,8,8,6,6,9,9,9,9,10,10,16,16,14,14,20,20,18,18,28,28,13,13,21,21,16,16,20,20,16,16,11,11,17,17,20,20,12,12,18,18,12,12,13,13,7,7,12,12,15,15,15,15,10,10,8,8,7,7,6,6,5,5,8,8,9,9,5,5,9,9,5,5,10,10,3,3,5,5,4,4,4,4,6,6,3,3,3,3,1,1,1,1,2,2,4,4,1,1,2,2,2,2,0,0,1,1,1,1,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹市東 區,仙水里,2011,5878,2887,2991,33,33,44,44,53,53,58,58,45,45,59,59,72,72,59,59,49,49,50,50,60,60,53,53,53,53,43,43,59,59,58,58,42,42,41,41,30,30,33,33,32,32,36,36,26,26,30,30,26,26,35,35,37,37,25,25,45,45,31,31,27,27,32,32,42,42,56,56,47,47,50,50,50,50,51,51,63,63,57,57,55,55,54,54,66,66,57,57,44,44,64,64,45,45,45,45,39,39,48,48,39,39,39,39,39,39,38,38,41,41,32,32,33,33,20,20,28,28,23,23,22,22,18,18,26,26,15,15,11,11,13,13,9,9,6,6,10,10,4,4,7,7,5,5,8,8,9,9,10,10,6,6,3,3,8,8,2,2,6,6,4,4,4,4,4,4,3,3,5,5,3,3,5,5,6,6,4,4,1,1,3,3,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹市東 區,光復里,955,2911,1439,1472,13,13,14,14,17,17,9,9,11,11,19,19,18,18,19,19,23,23,19,19,32,32,21,21,26,26,32,32,31,31,21,21,16,16,23,23,28,28,24,24,22,22,27,27,18,18,20,20,17,17,22,22,9,9,17,17,20,20,19,19,24,24,26,26,24,24,21,21,21,21,25,25,17,17,18,18,24,24,15,15,13,13,18,18,15,15,26,26,25,25,26,26,22,22,31,31,24,24,20,20,30,30,24,24,25,25,14,14,31,31,24,24,15,15,16,16,18,18,14,14,14,14,12,12,10,10,8,8,9,9,11,11,6,6,4,4,10,10,4,4,5,5,9,9,4,4,5,5,8,8,6,6,9,9,8,8,5,5,6,6,5,5,3,3,4,4,4,4,2,2,5,5,1,1,3,3,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,
10401,新竹市東 區,光明里,1580,4040,1979,2061,13,13,18,18,25,25,20,20,20,20,19,19,19,19,35,35,27,27,33,33,34,34,32,32,38,38,35,35,42,42,36,36,43,43,28,28,33,33,28,28,29,29,35,35,25,25,21,21,27,27,24,24,27,27,25,25,20,20,23,23,25,25,20,20,16,16,28,28,11,11,28,28,20,20,15,15,22,22,19,19,24,24,27,27,28,28,26,26,35,35,33,33,44,44,33,33,34,34,26,26,40,40,38,38,37,37,36,36,38,38,37,37,36,36,19,19,26,26,27,27,27,27,27,27,20,20,29,29,17,17,18,18,21,21,9,9,15,15,9,9,7,7,7,7,2,2,4,4,6,6,10,10,5,5,3,3,4,4,5,5,7,7,0,0,5,5,6,6,2,2,4,4,1,1,2,2,6,6,5,5,1,1,5,5,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,
10401,新竹市東 區,光鎮里,1399,4221,2023,2198,27,27,20,20,25,25,24,24,26,26,22,22,19,19,20,20,31,31,17,17,25,25,20,20,25,25,21,21,22,22,23,23,18,18,33,33,32,32,26,26,24,24,28,28,21,21,34,34,24,24,38,38,25,25,18,18,32,32,28,28,27,27,42,42,25,25,33,33,40,40,38,38,34,34,35,35,49,49,32,32,27,27,27,27,28,28,49,49,31,31,42,42,25,25,33,33,31,31,30,30,33,33,27,27,28,28,38,38,27,27,22,22,19,19,25,25,25,25,20,20,30,30,13,13,28,28,18,18,18,18,23,23,12,12,12,12,15,15,12,12,20,20,15,15,14,14,9,9,14,14,8,8,3,3,5,5,10,10,5,5,5,5,4,4,6,6,2,2,5,5,10,10,5,5,1,1,2,2,4,4,0,0,1,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹市東 區,公園里,1567,4293,2027,2266,21,21,25,25,20,20,25,25,23,23,35,35,34,34,33,33,46,46,39,39,47,47,59,59,45,45,46,46,65,65,34,34,34,34,24,24,24,24,34,34,35,35,17,17,24,24,21,21,22,22,21,21,17,17,23,23,16,16,13,13,19,19,24,24,27,27,30,30,29,29,30,30,27,27,32,32,34,34,42,42,30,30,24,24,32,32,34,34,30,30,38,38,41,41,40,40,25,25,39,39,34,34,30,30,22,22,24,24,33,33,18,18,12,12,19,19,18,18,25,25,19,19,14,14,17,17,10,10,10,10,19,19,12,12,18,18,5,5,3,3,7,7,5,5,3,3,6,6,6,6,5,5,7,7,9,9,11,11,7,7,2,2,7,7,6,6,6,6,5,5,4,4,5,5,4,4,0,0,4,4,0,0,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
10401,新竹市東 區,前溪里,995,3666,1886,1780,18,18,26,26,22,22,18,18,19,19,25,25,25,25,29,29,28,28,30,30,25,25,30,30,35,35,31,31,37,37,24,24,23,23,30,30,22,22,31,31,27,27,13,13,23,23,19,19,35,35,28,28,23,23,31,31,17,17,25,25,25,25,25,25,28,28,30,30,41,41,35,35,31,31,31,31,25,25,27,27,28,28,29,29,21,21,29,29,25,25,25,25,30,30,32,32,21,21,33,33,27,27,29,29,26,26,27,27,36,36,21,21,21,21,25,25,23,23,22,22,25,25,25,25,17,17,23,23,18,18,11,11,14,14,9,9,11,11,12,12,14,14,5,5,15,15,9,9,10,10,8,8,11,11,3,3,4,4,6,6,2,2,5,5,9,9,6,6,2,2,4,4,3,3,3,3,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,
