統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,嘉義市東 區,中央里,1054,2708,1350,1358,6,9,13,8,16,12,10,9,7,5,14,7,18,22,7,16,12,14,17,10,15,8,13,15,11,13,12,10,20,14,15,19,10,10,14,14,19,12,13,12,14,15,14,16,12,11,20,13,22,20,16,12,17,19,14,14,20,11,14,22,22,21,19,20,23,26,18,21,14,21,12,19,21,22,17,24,16,15,13,14,20,17,18,18,23,19,16,22,15,18,12,18,9,20,14,17,25,20,23,19,26,22,28,19,19,18,32,18,18,17,22,16,24,26,12,18,24,19,15,29,23,14,23,18,23,21,20,27,22,15,19,20,18,16,20,26,16,11,10,6,13,12,12,19,11,11,15,7,8,7,10,21,6,5,13,14,6,8,8,9,10,13,6,13,4,7,7,10,4,8,1,5,8,9,4,2,6,5,1,5,2,3,2,0,1,3,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,
10401,嘉義市東 區,中山里,969,2258,1034,1224,6,3,3,4,10,5,11,12,10,5,3,8,11,13,11,11,12,10,10,7,14,9,13,9,15,22,8,12,17,25,16,14,11,11,12,16,14,20,20,9,13,20,20,12,12,13,17,9,15,9,17,10,10,14,10,7,13,16,10,17,16,15,12,16,17,14,12,15,13,16,20,14,8,23,10,11,14,13,15,22,17,16,13,15,6,33,19,19,15,18,19,22,21,29,18,20,14,14,7,14,22,21,15,22,11,13,21,25,20,17,12,18,15,13,9,23,16,19,21,29,19,15,13,18,11,11,6,13,8,13,11,10,10,11,5,15,5,14,4,13,3,9,9,12,11,9,19,14,6,7,8,7,4,8,5,12,6,12,6,13,6,7,7,7,7,9,6,12,3,7,3,4,4,5,3,2,4,8,1,4,2,8,3,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
10401,嘉義市東 區,中庄里,1487,4054,1954,2100,13,13,9,9,11,15,16,8,10,14,16,11,23,10,20,16,15,20,33,29,34,30,31,24,41,22,31,28,61,36,34,32,32,27,29,38,31,40,46,29,29,25,32,24,28,38,33,18,25,31,16,22,31,32,19,24,24,27,25,34,23,27,34,27,31,34,33,29,38,34,26,29,32,37,25,28,24,39,23,36,22,40,33,35,34,41,34,55,33,41,36,37,33,36,29,32,38,41,29,36,34,34,25,34,23,42,30,29,19,30,32,28,16,27,27,36,17,24,25,23,16,19,22,26,22,40,16,25,26,14,9,16,13,18,9,11,13,14,9,15,8,17,9,11,7,18,7,18,13,9,16,11,15,7,10,11,8,7,7,8,8,7,4,6,3,4,5,4,2,4,4,5,2,2,3,0,3,2,3,2,1,0,2,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
10401,嘉義市東 區,仁義里,1297,3707,1760,1947,16,9,12,12,17,13,15,11,10,5,18,12,13,17,21,19,24,23,21,20,27,30,37,18,32,34,47,30,44,42,53,30,21,30,37,39,30,32,35,33,28,31,34,27,27,31,28,19,26,33,32,30,28,32,32,24,20,21,19,25,19,32,25,38,19,27,26,24,27,29,24,17,19,36,29,22,28,37,15,20,15,39,22,36,17,38,27,39,24,36,30,36,29,37,23,31,31,32,27,37,26,42,38,32,26,28,27,31,20,35,26,31,19,34,19,23,18,32,24,28,19,21,19,13,19,14,20,23,15,13,9,12,12,18,8,8,5,7,6,4,11,7,14,9,6,11,3,13,8,12,7,5,5,8,10,5,3,8,4,5,2,9,5,3,3,5,2,1,9,3,3,8,1,2,2,3,0,1,0,2,1,2,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
10401,嘉義市東 區,北門里,1088,2850,1400,1450,12,13,11,15,15,10,16,11,13,10,13,15,14,11,18,10,13,15,5,14,10,8,16,15,13,11,11,20,15,25,26,17,14,17,12,14,20,22,18,11,19,13,18,12,15,18,14,20,12,18,15,26,20,13,19,26,18,13,20,15,19,23,19,17,17,19,26,20,26,18,13,21,30,28,16,19,15,26,12,17,15,19,20,24,15,31,21,21,20,20,19,22,26,15,24,15,24,19,14,20,19,19,15,23,25,21,28,17,17,16,18,20,25,16,28,17,14,20,25,15,21,21,19,22,24,20,32,27,15,16,19,20,16,18,15,11,12,8,3,12,9,14,7,15,11,11,15,14,9,15,13,18,10,6,6,12,11,9,14,13,4,12,4,4,5,12,6,8,5,9,7,9,5,9,5,3,4,5,7,4,1,2,3,3,0,4,0,1,1,2,0,2,1,2,0,1,0,0,1,0,0,0,
10401,嘉義市東 區,圳頭里,1879,4984,2371,2613,17,18,14,10,17,16,19,14,15,12,14,8,11,17,22,20,18,23,23,26,27,25,13,27,26,32,27,38,34,35,43,33,35,33,31,34,38,44,41,32,43,28,36,33,44,38,28,36,37,36,44,25,37,34,30,26,26,29,30,27,31,35,36,30,32,34,41,34,24,46,39,40,37,36,34,34,39,42,30,29,28,29,33,40,32,35,41,47,43,36,43,47,49,41,27,48,41,61,38,45,53,40,44,50,45,49,44,36,29,31,28,40,34,26,33,34,33,31,29,34,27,29,27,36,23,45,24,46,13,33,20,29,24,25,13,26,12,26,8,24,8,26,10,26,7,24,14,29,10,38,7,24,12,20,10,21,7,17,12,12,7,15,7,12,11,11,18,7,15,3,14,3,10,6,18,5,12,4,17,4,6,8,6,3,4,0,2,2,3,4,2,1,1,0,0,0,0,0,0,0,0,0,
10401,嘉義市東 區,太平里,2019,5416,2508,2908,17,14,35,17,27,34,25,28,26,31,25,36,34,27,26,24,27,28,26,32,36,30,51,41,49,43,52,37,52,47,57,64,33,41,41,40,45,55,43,36,40,39,41,47,35,27,38,34,30,42,19,30,31,30,26,27,24,29,43,31,45,49,35,35,38,42,23,32,32,37,31,48,34,56,36,45,34,62,32,64,27,40,33,42,39,48,25,57,47,73,48,64,38,50,43,57,44,33,42,43,38,49,32,39,38,41,41,38,27,52,35,34,37,42,24,39,38,34,25,37,31,30,31,29,27,29,18,25,18,24,24,28,19,22,11,18,15,16,14,14,12,27,15,20,10,13,8,20,10,11,10,13,11,11,8,26,12,13,12,13,15,10,8,7,7,11,3,5,8,10,7,4,9,10,1,5,7,6,1,4,1,2,1,1,2,1,5,4,0,0,0,2,0,0,1,0,1,0,0,0,0,1,
10401,嘉義市東 區,安寮里,1207,3151,1561,1590,15,7,9,10,14,13,7,9,8,12,7,8,9,9,8,17,8,14,13,11,10,14,11,16,16,18,21,13,23,16,20,19,13,10,17,15,21,15,16,19,24,23,19,16,28,20,20,19,23,16,27,8,24,14,26,22,18,17,27,18,24,22,20,18,33,28,22,32,27,26,28,27,32,30,22,24,24,20,21,24,22,29,27,27,27,23,21,22,25,33,22,23,29,19,22,18,23,22,21,24,22,26,20,26,25,27,14,28,34,20,29,22,23,29,18,24,21,20,24,35,32,22,19,24,21,14,13,32,23,25,19,22,19,29,12,20,18,10,10,10,11,16,13,19,10,13,12,17,10,12,12,16,12,13,7,5,7,10,9,10,7,8,4,9,7,11,3,8,9,8,6,2,0,5,5,3,1,1,1,1,0,2,0,1,1,2,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,
10401,嘉義市東 區,安業里,854,2317,1126,1191,9,9,6,7,10,9,6,4,7,4,7,8,6,5,5,4,8,5,9,3,11,9,11,15,19,22,22,18,18,14,22,13,17,12,26,20,9,21,14,18,17,20,20,18,20,17,17,17,23,13,20,17,16,23,18,10,14,8,15,21,21,20,14,20,22,17,14,16,21,20,12,20,20,27,14,20,23,17,14,17,7,15,16,16,13,17,12,30,15,16,15,14,17,16,15,17,20,23,17,21,19,21,26,14,22,16,15,22,14,26,21,21,21,17,17,18,12,14,14,21,16,24,12,15,13,11,14,15,16,8,10,15,12,12,13,9,7,7,7,6,1,7,8,8,4,10,6,9,5,6,8,10,4,14,4,9,7,5,6,5,3,6,2,8,5,2,3,5,2,2,3,3,4,3,2,1,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10401,嘉義市東 區,宣信里,624,1629,815,814,7,3,8,5,4,8,4,6,2,6,6,3,3,2,6,6,2,6,6,2,9,5,6,3,0,9,5,6,10,9,9,4,9,8,10,9,7,4,10,9,11,10,6,10,11,7,13,11,11,13,12,16,14,10,12,14,3,12,11,14,9,7,17,7,15,15,8,7,14,13,13,7,10,18,11,11,15,11,9,9,8,8,6,12,11,17,17,10,15,7,15,16,11,9,9,10,20,14,8,7,10,10,8,11,10,8,20,12,16,14,10,17,13,11,15,10,22,19,8,11,10,14,15,9,15,17,8,12,9,13,10,9,10,8,10,9,8,7,7,4,8,12,11,10,7,12,7,10,10,9,8,6,6,7,9,6,5,4,5,2,5,10,6,9,2,5,4,8,4,7,4,5,1,5,1,6,4,1,1,2,2,1,2,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
