統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,屏東縣屏東市,一心里,610,1409,644,765,3,2,2,3,5,5,1,3,4,5,6,9,11,6,8,5,6,14,6,3,6,7,4,1,3,10,10,5,8,10,5,7,6,8,5,10,13,9,14,10,12,10,10,8,12,10,7,10,4,10,7,6,10,9,7,9,5,10,7,9,11,10,10,8,10,9,11,5,8,14,8,7,6,5,16,20,10,15,9,12,7,12,13,21,12,15,18,14,16,18,16,15,17,14,14,11,13,10,10,16,7,14,11,13,9,21,10,15,12,10,10,12,13,16,10,7,8,13,7,5,8,15,3,15,7,10,9,16,14,8,3,10,2,4,3,2,4,2,1,6,1,5,5,7,3,7,4,6,4,5,2,6,2,3,3,6,4,6,1,6,5,2,1,5,2,1,1,1,3,6,2,0,1,0,1,0,0,1,3,0,0,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,屏東縣屏東市,三山里,483,1547,779,768,3,7,5,9,3,5,4,6,0,4,3,4,5,7,3,7,2,8,4,6,2,4,3,6,8,8,11,4,8,5,8,7,7,5,7,10,12,13,10,8,10,7,19,10,15,10,14,6,11,13,10,8,13,17,10,16,15,12,13,17,11,12,19,15,17,10,17,11,9,9,10,15,14,7,14,12,11,8,11,6,9,7,7,10,6,8,12,12,11,10,8,6,10,13,16,11,7,17,6,15,12,11,8,11,14,12,8,20,17,14,14,14,22,18,26,15,12,18,16,7,14,12,11,12,13,8,12,7,10,6,5,7,9,10,7,5,7,8,2,3,6,5,5,6,9,5,10,3,6,7,5,4,1,5,3,5,6,6,2,3,5,2,1,8,2,7,0,5,1,4,7,6,2,1,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10401,屏東縣屏東市,中正里,2007,5554,2697,2857,14,17,14,14,21,13,16,19,18,11,21,25,26,18,20,29,32,31,34,20,25,23,25,28,31,35,30,27,59,37,37,32,38,30,44,44,47,50,44,48,46,38,49,44,55,46,40,29,45,36,50,32,52,46,34,36,41,34,41,49,48,47,67,43,48,42,41,49,44,40,43,43,39,50,37,38,49,63,41,40,36,44,35,44,40,38,44,38,45,57,42,60,26,54,38,39,48,48,33,51,42,57,40,43,44,46,40,48,40,57,40,44,43,57,46,39,32,51,37,50,37,40,34,39,35,39,30,47,24,31,28,27,24,24,22,31,16,23,10,13,7,19,13,22,12,14,12,11,22,10,8,15,5,13,7,14,2,10,7,8,7,7,5,6,4,4,6,7,6,6,2,5,3,0,1,2,2,3,3,1,3,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,
10401,屏東縣屏東市,仁愛里,1003,2922,1373,1549,8,4,10,4,12,10,9,9,9,6,14,8,8,13,9,14,15,19,12,22,25,22,24,29,47,31,36,29,29,37,28,29,19,17,19,24,20,19,19,15,17,17,19,15,22,29,14,22,20,28,14,14,22,15,18,13,16,13,20,22,25,23,24,13,20,22,26,19,25,25,22,34,14,20,16,35,20,29,27,21,24,24,17,29,19,21,18,22,17,23,16,29,17,23,21,20,18,23,14,25,17,22,18,22,15,20,18,27,19,17,13,17,20,19,18,21,21,32,16,27,23,10,14,20,12,16,19,25,16,28,18,26,19,18,13,11,7,12,6,7,9,10,7,13,6,12,6,13,7,6,5,7,3,10,7,5,3,9,8,5,5,7,4,2,4,4,3,1,1,4,2,5,3,0,2,1,6,3,1,4,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
10401,屏東縣屏東市,仁義里,403,1345,722,623,4,5,5,3,8,7,6,1,3,2,7,6,5,3,7,9,3,5,6,2,6,4,3,5,3,8,8,5,12,7,6,6,7,9,13,5,12,12,13,6,14,4,6,11,9,10,6,9,12,6,11,11,5,9,11,10,16,7,11,9,10,10,17,16,13,13,24,7,14,5,13,8,10,9,6,5,11,12,4,6,10,7,12,4,9,9,8,7,6,11,10,8,13,8,20,9,8,12,10,8,12,17,11,17,9,10,10,7,15,15,9,15,16,14,6,12,9,3,10,11,12,14,13,6,8,13,8,7,10,8,8,2,5,5,5,8,3,5,5,1,5,7,7,5,4,5,4,2,5,5,4,6,6,3,1,3,3,2,6,6,1,3,8,4,4,2,1,2,2,2,2,1,1,1,4,2,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,屏東縣屏東市,信和里,559,1822,965,857,6,8,6,4,8,5,5,3,7,6,5,5,5,5,7,9,3,7,2,6,3,3,8,3,10,4,9,11,6,4,9,9,4,11,12,15,11,11,15,20,11,10,20,10,18,13,15,16,13,15,11,8,14,8,8,9,17,7,17,10,13,15,16,10,17,17,15,22,16,14,11,17,13,9,17,8,17,8,16,11,14,16,11,10,22,11,17,15,17,12,15,11,10,11,10,13,22,22,12,9,19,8,20,13,13,12,22,15,19,18,14,13,11,14,19,17,19,10,9,15,18,15,17,10,13,18,10,13,15,13,11,12,5,4,8,4,9,4,9,6,5,1,3,8,11,5,10,10,13,10,9,10,6,7,1,3,6,3,5,7,2,8,5,5,5,3,4,7,3,3,3,3,2,3,0,0,1,2,3,0,0,1,0,2,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
10401,屏東縣屏東市,光榮里,339,873,423,450,5,3,0,2,0,4,1,3,0,0,6,2,5,4,6,4,4,2,4,6,1,1,2,4,4,1,4,10,4,4,8,3,4,4,6,8,6,7,4,3,3,6,3,6,6,1,5,4,8,4,3,8,4,4,1,2,3,9,7,2,6,6,4,7,4,9,8,8,5,8,6,6,2,8,8,3,4,9,6,6,8,6,8,7,7,5,8,8,9,8,4,8,6,3,7,5,5,10,9,5,4,6,6,13,10,3,7,3,7,8,4,10,6,5,9,4,12,5,11,6,6,14,5,9,8,6,5,12,4,4,2,3,6,10,3,3,3,1,6,2,6,5,4,1,4,4,4,4,2,3,3,5,4,3,1,6,3,4,2,5,1,2,2,2,1,4,3,4,1,2,4,3,1,4,3,0,1,0,0,2,1,2,0,0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,屏東縣屏東市,光華里,344,832,462,370,3,2,2,1,0,2,1,1,2,4,4,0,0,1,2,3,4,1,5,2,2,0,4,3,3,2,4,2,5,2,4,3,4,5,7,3,4,3,5,1,1,4,5,5,10,8,5,4,9,5,7,6,7,4,10,2,0,4,9,5,11,6,5,2,5,7,5,3,14,5,10,4,5,5,8,1,7,10,5,7,12,5,7,2,4,7,4,6,4,9,12,9,11,5,9,8,9,7,11,7,6,6,6,6,8,6,3,5,6,9,10,5,7,3,4,12,15,11,8,7,8,4,7,8,13,5,8,4,5,7,3,5,5,2,4,2,3,3,3,2,2,3,5,6,9,2,4,9,2,5,2,2,5,5,2,2,1,3,1,3,1,2,4,1,0,2,2,1,0,2,0,1,1,0,0,3,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10401,屏東縣屏東市,公館里,486,1739,867,872,5,2,4,1,4,10,6,0,8,2,0,2,10,6,9,5,4,4,9,3,9,11,6,7,6,9,7,5,14,8,14,10,5,15,14,12,15,15,20,22,15,18,8,11,22,18,12,11,15,11,14,13,9,9,7,10,10,9,12,18,13,12,16,10,12,13,11,15,13,9,11,10,12,23,11,8,19,12,6,10,13,7,13,10,9,10,18,20,10,13,13,12,16,20,15,17,10,13,16,14,9,6,20,16,17,12,17,22,11,17,11,12,15,8,11,11,12,11,10,10,12,12,5,9,14,17,10,17,9,12,9,8,11,12,6,8,6,7,6,7,9,9,7,4,5,9,11,7,6,10,9,3,7,9,8,8,3,11,5,7,4,2,2,2,5,4,3,3,3,2,0,4,1,1,0,2,5,3,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
10401,屏東縣屏東市,凌雲里,302,704,360,344,3,1,2,0,3,2,2,1,1,3,4,0,2,0,1,2,0,2,3,2,0,2,3,0,1,2,3,2,2,2,3,2,2,0,2,5,8,3,5,2,2,1,5,4,7,4,6,6,4,3,4,4,3,4,1,3,5,0,7,5,1,3,1,3,4,3,4,6,7,6,4,4,1,4,7,2,7,7,7,3,2,7,8,5,9,7,7,3,7,5,7,8,9,5,8,5,7,6,7,6,6,7,9,5,4,6,8,3,3,5,6,4,5,3,3,4,6,8,2,5,3,3,6,5,3,5,1,11,6,10,5,10,5,4,1,7,1,4,1,8,6,6,4,6,2,4,1,3,1,8,1,3,4,5,2,3,1,1,1,10,3,1,2,2,3,1,5,0,4,0,6,1,8,2,1,4,5,0,2,1,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
