統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,新竹縣竹北市,中興里,2997,7311,3647,3664,88,65,83,70,101,87,88,92,81,73,95,89,84,88,82,78,60,54,56,57,46,25,28,31,25,38,43,31,36,31,39,37,34,31,39,37,38,27,32,26,28,36,25,38,31,35,21,28,40,23,33,22,28,19,17,25,22,26,30,35,26,50,48,50,47,78,63,81,81,106,102,127,111,128,115,127,133,157,112,127,107,109,117,96,105,88,74,90,96,75,93,41,78,52,47,54,44,36,39,36,44,45,32,48,48,35,27,30,31,31,24,34,30,31,26,31,26,23,21,23,13,22,11,32,22,14,22,22,18,21,13,16,22,18,7,4,6,9,8,6,4,12,6,6,6,7,4,7,8,6,5,4,7,4,7,5,9,8,7,8,4,5,5,11,5,3,6,3,7,3,1,1,2,1,3,0,1,3,4,4,1,0,0,2,0,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,
10401,新竹縣竹北市,北崙里,1642,5142,2504,2638,27,23,23,18,41,34,34,35,22,27,48,42,44,40,36,41,47,48,38,41,50,53,43,36,56,49,51,48,57,55,50,47,56,51,58,50,59,36,42,37,43,50,43,33,34,36,35,36,34,41,27,26,20,24,25,22,21,20,23,24,24,31,29,34,34,44,45,35,42,43,31,49,41,57,32,50,34,65,31,45,35,42,42,42,43,41,37,63,47,69,44,65,56,73,47,48,51,49,39,43,46,43,47,38,50,42,30,23,26,25,31,24,20,20,17,26,23,25,22,12,11,24,22,25,17,19,13,18,7,10,13,12,9,9,12,11,8,5,9,8,13,6,5,12,6,9,6,12,8,8,9,9,10,9,8,4,4,6,2,2,9,6,1,3,2,1,4,2,2,2,2,3,2,2,0,1,4,3,0,0,0,1,1,1,1,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
10401,新竹縣竹北市,北興里,513,1212,602,610,14,12,12,15,21,14,18,12,11,19,13,10,15,13,7,11,6,9,7,4,5,8,2,6,3,1,1,4,5,7,3,2,5,2,8,2,5,3,3,5,5,2,6,5,4,4,7,2,7,2,4,4,6,3,4,8,7,6,7,9,8,16,14,12,13,15,18,31,25,22,21,16,17,28,18,24,23,24,18,17,15,19,13,13,14,11,8,10,7,6,11,7,12,8,6,8,4,5,5,3,2,3,5,6,7,8,4,5,4,8,9,6,5,6,3,8,8,2,6,5,7,4,2,4,8,3,0,2,5,6,1,1,3,2,1,0,1,3,1,4,2,1,3,2,0,2,2,1,3,0,0,2,2,2,2,3,1,3,3,1,1,0,2,4,1,1,1,0,1,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,新竹縣竹北市,十興里,3573,9665,4676,4989,88,98,103,96,124,150,128,123,131,108,165,136,150,139,173,139,123,137,141,126,123,113,100,104,101,80,82,78,70,56,54,52,45,28,40,32,21,24,32,20,17,23,23,16,15,20,16,21,18,12,15,21,20,25,19,26,23,29,32,45,36,46,44,64,55,80,70,101,78,138,110,167,110,176,128,178,200,245,173,186,168,191,163,171,161,149,138,128,137,119,100,75,68,79,51,46,53,42,55,38,36,49,37,30,19,27,15,22,16,19,13,13,19,19,12,16,11,18,18,18,12,16,12,22,15,17,14,19,10,13,19,11,9,15,4,16,7,14,3,13,12,9,8,10,9,19,6,12,9,9,5,5,5,4,5,2,3,4,4,5,3,4,0,5,2,1,1,1,2,3,1,1,1,2,1,3,4,1,1,3,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
10401,新竹縣竹北市,大眉里,718,2047,1044,1003,10,9,7,9,10,13,7,8,7,10,13,7,9,8,10,13,12,11,3,7,6,6,7,4,10,6,17,6,12,8,14,11,12,10,13,20,22,15,15,19,13,20,28,22,13,10,20,20,18,16,16,9,15,10,15,12,15,14,9,13,16,22,27,13,11,16,16,17,21,21,20,14,18,23,17,21,22,15,23,16,23,12,25,19,20,14,13,14,19,19,8,20,16,13,19,18,22,13,19,12,15,19,23,19,17,17,9,13,14,19,12,13,18,14,9,12,15,19,15,11,8,12,15,9,10,15,13,17,5,10,8,9,10,2,4,4,4,2,2,2,5,5,4,5,2,7,4,8,4,2,9,9,2,4,6,3,1,4,4,4,2,8,1,1,2,5,3,5,4,3,5,0,1,2,4,3,0,3,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
10401,新竹縣竹北市,大義里,588,1895,1004,891,8,9,7,10,8,9,8,6,8,5,7,7,8,4,8,8,12,5,8,7,6,9,6,6,4,11,7,13,13,16,16,16,10,12,14,12,16,11,15,12,12,14,14,14,18,8,15,16,16,19,20,17,15,19,9,9,14,19,20,10,18,22,21,11,16,15,25,20,14,14,15,12,16,11,17,5,22,12,9,12,16,10,18,14,11,14,13,17,15,11,20,6,16,14,11,18,18,10,23,18,17,18,16,17,11,13,22,6,18,9,13,12,18,15,13,11,13,6,12,16,14,10,10,9,4,6,11,8,8,11,10,4,13,9,7,7,8,5,9,4,8,6,4,6,6,9,6,10,3,9,5,7,5,7,7,5,7,1,4,5,4,3,3,3,2,3,3,1,1,5,3,6,2,2,2,2,3,0,1,1,0,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,
10401,新竹縣竹北市,尚義里,596,1879,1002,877,8,5,10,6,3,11,7,6,4,6,6,11,4,3,10,3,5,8,15,11,7,7,18,10,17,10,13,8,17,12,16,14,13,16,11,19,12,21,16,14,13,18,13,14,15,5,17,14,16,13,9,19,13,11,7,10,13,11,8,9,14,5,14,13,10,12,10,12,23,15,12,11,23,18,9,17,25,12,16,12,20,15,13,14,17,11,17,10,17,9,17,13,23,14,16,10,22,18,23,11,13,9,18,14,23,10,15,11,11,11,20,10,17,13,14,5,11,5,11,8,6,10,7,8,9,5,8,17,9,7,3,9,4,7,11,9,7,7,8,6,3,4,9,8,7,7,8,9,5,14,8,4,4,6,2,6,6,6,2,11,6,5,5,4,5,4,4,6,4,3,3,5,4,4,2,1,4,1,2,2,1,2,2,1,0,2,0,0,2,1,1,0,0,1,0,0,0,1,0,1,1,0,
10401,新竹縣竹北市,崇義里,734,2326,1226,1100,13,15,15,8,14,10,8,10,6,6,12,8,9,3,7,11,11,18,15,6,6,7,12,10,23,12,15,16,18,18,17,18,11,14,18,21,18,13,20,20,23,17,20,19,19,13,19,19,15,23,16,15,20,19,10,13,12,9,20,12,13,18,20,16,19,25,22,16,25,16,16,13,17,22,15,28,28,17,21,15,21,17,18,11,23,13,23,13,20,17,26,18,22,12,23,24,23,14,19,15,20,18,12,17,17,12,17,16,21,7,17,9,17,16,14,8,22,20,18,11,10,13,14,10,19,12,12,13,6,10,14,5,9,5,6,9,5,5,5,7,5,9,10,15,16,7,7,8,5,7,7,7,5,7,4,12,3,5,5,4,5,5,5,10,4,5,1,4,4,4,1,6,1,4,2,4,1,2,2,1,1,0,0,2,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
10401,新竹縣竹北市,文化里,1530,4470,2150,2320,18,17,31,19,20,27,24,25,22,22,33,30,39,36,48,43,44,38,42,31,42,54,70,53,53,48,43,43,70,46,35,41,32,33,47,40,44,31,36,40,34,27,33,36,32,33,23,27,32,34,22,18,22,25,10,12,11,19,18,13,22,20,21,24,20,33,25,37,21,25,29,33,30,42,23,46,39,67,44,44,37,56,55,66,36,49,47,73,44,48,49,75,44,61,40,42,50,39,43,33,38,27,38,42,27,27,27,29,25,27,15,25,22,23,18,23,12,9,12,13,12,16,13,17,13,16,15,15,13,5,8,5,6,7,4,10,6,5,5,3,7,7,4,9,5,10,6,4,4,11,8,6,5,8,5,3,3,8,7,1,1,4,2,3,3,6,1,3,2,3,1,3,0,2,1,2,2,3,0,2,2,1,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,
10401,新竹縣竹北市,斗崙里,5269,14330,6953,7377,117,119,111,105,148,144,160,133,137,112,172,152,163,139,166,140,125,125,124,132,102,118,122,142,118,121,133,111,112,138,123,106,85,92,105,85,89,103,79,85,71,95,79,72,82,60,58,74,70,65,63,56,66,68,61,54,60,52,74,65,102,109,95,129,113,152,117,165,129,173,156,220,158,203,150,205,183,213,137,187,170,181,162,175,141,149,144,140,139,147,146,150,130,145,105,127,114,123,117,109,93,98,84,99,67,80,67,72,61,52,54,48,68,62,52,37,36,40,54,45,31,43,28,34,31,40,36,30,38,34,23,28,22,26,14,16,17,16,10,10,17,15,15,17,14,11,19,18,17,19,12,12,11,14,9,14,8,12,4,14,8,10,6,3,11,9,4,4,6,4,4,5,7,5,2,2,4,2,3,2,0,5,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,
