統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,雲林縣斗六市,三光里,243,634,348,286,0,1,3,0,2,0,4,3,3,0,0,4,3,1,2,1,3,2,1,4,1,3,3,0,0,3,2,3,3,4,2,3,2,3,4,6,6,3,4,3,8,1,4,1,3,6,2,4,5,2,5,2,4,4,4,3,1,5,2,1,2,1,5,3,5,2,5,1,3,3,1,3,4,0,4,3,3,3,3,10,6,5,4,6,11,9,8,4,10,2,6,4,5,5,10,4,8,3,4,6,7,5,9,3,7,5,4,5,1,2,5,7,6,3,8,1,7,3,7,4,6,6,6,3,4,1,4,2,5,3,3,5,2,3,5,4,2,2,3,2,5,2,1,9,6,3,2,5,7,4,6,4,1,3,4,0,2,1,3,6,3,3,3,2,0,1,2,2,1,3,2,6,0,1,2,2,3,2,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,雲林縣斗六市,三平里,2065,5822,2805,3017,21,27,26,22,36,27,35,22,18,27,48,29,43,34,47,33,33,41,42,47,37,33,48,54,54,49,44,50,53,59,43,44,34,44,60,43,47,41,33,48,41,37,44,29,35,31,35,26,39,31,33,47,48,32,40,42,38,35,40,37,47,51,38,45,34,42,65,62,56,49,48,52,52,55,48,64,56,55,46,57,39,49,36,52,34,51,47,51,49,64,48,43,33,44,32,46,41,58,39,26,34,42,45,57,37,41,27,50,23,36,31,45,29,37,37,32,33,37,39,34,27,36,30,37,28,27,21,38,28,25,18,26,22,24,19,20,12,13,14,14,10,14,11,12,8,20,5,12,14,21,16,12,10,15,11,16,8,8,7,4,10,7,5,12,7,6,5,10,8,4,1,4,5,2,8,11,4,5,8,2,2,0,1,6,0,2,1,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,
10401,雲林縣斗六市,中和里,368,983,507,476,3,3,4,3,5,2,5,1,2,0,2,2,1,5,9,5,3,5,5,5,2,3,6,2,5,8,7,6,9,3,7,8,7,8,4,8,6,7,5,10,6,8,5,8,5,6,6,5,5,7,8,7,9,3,7,6,8,1,4,7,3,5,9,10,6,9,4,4,6,6,6,8,7,4,8,8,12,10,7,6,4,5,8,8,4,6,5,4,12,6,10,4,18,13,7,3,6,9,12,6,5,10,10,6,9,2,13,6,5,7,6,5,9,7,3,6,9,6,4,4,6,8,3,7,4,3,7,6,6,6,4,5,5,7,8,4,5,5,4,6,5,7,7,3,5,4,5,8,9,4,2,5,2,7,6,5,2,4,6,8,5,4,6,1,1,3,2,1,2,2,1,0,0,3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
10401,雲林縣斗六市,久安里,904,2734,1410,1324,6,12,9,10,12,12,9,8,6,6,5,8,10,10,12,6,20,6,12,6,4,10,11,7,14,12,14,11,22,20,32,16,15,21,19,20,28,12,20,20,27,25,32,19,25,19,18,20,27,21,20,23,18,15,22,21,22,18,18,22,18,12,16,16,24,28,16,30,25,14,17,17,13,15,30,20,15,14,16,21,20,23,25,23,16,25,17,21,21,11,22,26,26,21,18,28,19,26,26,29,34,28,29,19,31,18,28,16,24,23,21,19,25,23,14,11,20,16,14,17,14,17,8,9,15,11,19,16,15,8,14,14,14,10,9,10,8,7,8,8,6,10,8,8,10,10,11,15,12,13,10,13,10,9,15,11,6,12,6,6,3,5,10,8,4,7,2,4,2,8,4,2,4,4,4,4,4,4,1,2,1,5,1,0,1,4,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,
10401,雲林縣斗六市,仁愛里,482,1310,659,651,5,4,5,3,7,2,2,4,5,3,7,5,11,10,10,6,9,9,8,6,6,5,4,3,13,7,6,8,8,8,7,9,8,5,7,7,12,10,7,6,6,9,10,6,7,7,7,9,8,6,7,9,11,7,8,10,8,7,11,8,9,13,12,12,11,9,13,12,10,13,12,16,9,9,8,10,8,10,9,7,7,5,8,5,14,7,5,3,6,7,7,7,8,7,6,9,7,14,7,9,9,7,13,10,9,5,7,5,5,12,4,11,11,11,11,13,10,13,15,12,11,8,11,9,8,8,15,9,4,11,9,6,9,7,8,7,6,5,9,7,8,9,9,8,3,10,4,7,8,4,3,6,5,11,4,4,1,2,3,4,6,3,4,4,6,3,0,8,1,0,1,2,0,2,0,2,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,雲林縣斗六市,保庄里,2030,6068,3053,3015,37,31,28,22,39,33,47,28,32,28,21,20,30,21,26,18,30,28,19,22,34,28,35,31,35,30,34,38,42,41,31,39,31,42,43,47,42,37,52,40,38,47,44,46,53,44,48,40,70,45,54,32,48,35,50,51,47,41,67,54,53,51,48,51,72,50,65,62,63,68,50,65,44,61,40,45,70,72,44,46,39,56,43,38,43,48,41,46,38,49,53,43,45,44,49,43,47,55,47,43,32,49,46,63,33,50,53,61,45,49,52,49,36,34,40,44,48,39,40,25,29,30,25,34,29,23,32,28,30,22,20,27,20,21,12,12,16,16,11,15,15,18,15,18,16,12,17,15,17,13,11,12,9,8,14,9,7,9,8,21,9,13,10,14,9,13,9,10,8,8,7,9,6,7,6,4,2,1,3,3,0,5,0,2,1,1,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,
10401,雲林縣斗六市,信義里,331,799,393,406,4,1,3,1,4,3,5,6,7,0,4,1,0,3,3,1,3,2,2,1,1,2,4,7,5,2,3,7,3,2,4,3,3,7,3,3,5,7,4,3,8,5,3,6,3,2,3,7,8,7,1,7,4,4,4,9,4,1,6,2,8,4,7,5,6,6,5,8,11,5,9,7,7,7,3,7,7,6,7,1,5,2,4,5,8,5,4,7,6,6,6,3,1,5,8,7,6,9,6,3,3,2,6,9,3,3,6,6,8,4,3,9,7,10,4,4,9,6,6,5,10,2,8,8,7,7,8,6,5,6,3,7,6,7,5,3,5,3,5,3,2,4,3,2,1,9,3,5,2,3,3,5,4,7,0,4,4,3,6,5,2,3,1,2,2,3,0,4,0,3,1,4,0,1,0,1,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,
10401,雲林縣斗六市,光興里,411,924,440,484,4,3,4,1,3,1,2,3,1,3,4,1,4,3,3,3,7,3,2,2,8,3,1,1,2,4,1,5,1,2,5,1,3,3,3,5,6,4,6,3,7,3,5,5,7,6,5,7,6,8,5,5,7,4,4,11,2,10,6,11,7,10,9,8,7,11,4,17,9,6,4,6,7,5,2,2,13,10,8,10,6,2,7,6,7,6,4,4,5,5,11,5,2,8,5,5,6,7,7,11,10,7,4,7,4,8,8,2,6,8,9,8,7,3,6,10,7,8,9,9,9,17,7,14,8,8,10,5,3,7,5,4,3,4,4,4,5,4,6,4,2,2,7,3,5,6,1,8,5,6,3,4,4,3,5,7,2,6,3,4,1,2,5,6,3,4,2,1,2,3,2,1,2,1,1,2,1,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,雲林縣斗六市,八德里,1216,3909,1996,1913,9,24,16,15,15,10,6,9,10,14,15,8,13,19,19,12,19,14,24,26,24,17,30,21,28,28,34,22,43,26,36,19,25,24,28,24,39,26,40,26,34,28,36,54,28,37,29,27,38,30,32,22,20,28,28,23,30,25,32,28,39,40,33,24,35,34,33,29,31,45,41,32,33,29,32,27,25,32,31,25,22,25,32,33,29,30,25,37,24,19,30,27,28,22,30,29,33,41,27,33,34,33,33,39,40,32,26,24,29,25,29,43,23,33,29,20,30,25,34,31,19,23,31,16,23,21,24,25,13,19,18,20,10,8,14,11,15,15,11,12,10,14,5,13,7,4,11,6,11,8,9,13,9,10,5,10,6,5,6,8,2,9,3,4,3,3,4,5,6,5,2,5,7,3,1,1,2,3,2,3,5,2,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
10401,雲林縣斗六市,公正里,1353,3503,1656,1847,8,6,10,8,9,10,18,14,9,13,32,20,19,18,30,23,26,24,30,16,22,11,24,19,29,18,20,20,30,25,26,42,24,32,34,27,35,32,22,29,30,29,30,31,37,26,30,24,19,37,19,27,31,36,21,21,21,21,26,29,23,21,20,24,27,19,24,18,14,19,25,28,23,34,25,28,27,33,16,40,17,19,20,23,16,30,18,27,19,22,18,31,28,40,29,33,25,36,28,33,38,39,26,50,28,35,23,31,20,26,22,34,21,15,22,26,21,33,21,28,20,11,16,19,19,27,15,20,14,15,12,15,10,10,2,14,7,11,8,9,9,9,10,11,9,9,10,12,4,8,8,8,3,9,9,5,7,10,3,9,7,6,2,4,6,4,6,7,7,1,8,3,6,5,4,4,0,4,3,2,2,1,1,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
