統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,嘉義縣太保市,前潭里,551,1776,966,810,5,4,6,6,9,6,5,9,6,6,6,5,6,4,7,5,5,6,6,6,3,9,2,6,8,5,12,11,13,7,10,6,11,5,15,8,14,11,11,17,22,12,17,4,9,18,13,13,14,14,16,12,22,14,10,11,15,10,16,15,15,7,12,17,16,17,17,16,15,14,17,12,14,16,9,18,9,7,12,10,11,8,13,8,14,6,10,17,9,12,12,6,15,13,17,7,11,19,20,13,12,12,14,15,20,12,20,13,18,17,11,7,19,7,18,7,16,13,16,10,13,10,15,10,10,6,12,11,17,10,10,4,10,6,14,5,5,6,5,3,6,6,15,2,6,3,5,13,6,7,9,9,6,13,4,3,6,8,7,9,10,6,3,6,4,9,7,5,5,5,2,6,1,0,2,1,2,2,0,1,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,
10401,嘉義縣太保市,北新里,1111,3525,1803,1722,13,14,7,11,18,15,6,9,16,13,15,6,31,12,22,16,19,21,18,19,29,24,11,24,16,18,19,20,33,25,26,22,32,22,28,23,21,38,24,31,32,31,24,23,23,30,30,22,37,26,32,28,25,26,20,29,27,22,24,33,31,18,29,23,27,20,30,31,24,25,32,28,38,37,34,28,19,38,31,27,22,20,22,34,28,28,25,19,28,29,19,27,26,30,30,30,38,23,30,27,31,37,33,29,38,25,36,31,29,23,20,16,29,25,27,15,25,22,15,16,23,26,16,15,33,13,17,16,11,8,10,11,11,10,12,11,12,11,9,6,5,14,10,10,14,11,11,10,14,8,7,6,7,8,7,6,4,14,12,10,5,5,5,14,4,4,3,11,1,8,7,3,2,3,1,4,1,5,2,1,0,1,2,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,
10401,嘉義縣太保市,南新里,703,2207,1140,1067,5,3,6,7,9,12,8,7,4,6,8,11,13,8,8,18,13,12,8,9,10,10,6,14,6,10,14,11,19,13,15,19,17,13,19,20,23,20,15,24,25,16,16,17,21,9,19,12,16,16,12,12,16,22,12,9,18,14,15,20,15,16,16,12,16,18,17,12,15,16,16,9,20,17,11,12,12,16,17,13,17,14,10,23,21,21,14,18,15,14,23,25,21,13,22,18,20,19,16,12,20,21,24,8,16,15,24,10,12,18,24,13,16,15,23,9,10,13,15,10,18,9,15,12,21,12,10,18,11,12,8,12,13,9,11,8,9,10,5,5,9,6,10,5,10,4,6,9,10,12,9,7,8,9,4,4,4,9,3,7,3,13,4,6,7,5,5,4,1,2,1,5,3,2,4,2,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10401,嘉義縣太保市,埤鄉里,281,854,472,382,1,4,4,0,6,3,4,2,4,1,0,5,3,3,3,6,1,4,4,5,6,4,1,0,3,4,7,4,8,3,5,2,1,5,9,5,7,8,6,3,12,6,4,10,8,4,6,8,9,4,7,6,9,2,4,4,5,6,4,2,5,4,7,5,3,6,8,2,13,8,3,5,7,10,7,5,7,3,8,7,5,7,4,5,3,7,8,3,8,3,5,2,13,7,6,7,8,2,4,6,5,2,14,7,7,4,12,5,8,5,9,2,8,10,4,10,4,3,5,10,7,5,7,4,7,4,10,5,8,7,2,2,3,8,3,1,1,1,3,0,6,6,6,6,3,2,5,4,2,2,3,3,4,1,1,2,1,1,6,4,5,3,3,3,3,1,4,4,1,5,3,4,1,2,1,1,1,3,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
10401,嘉義縣太保市,太保里,902,2703,1392,1311,9,6,8,9,10,14,15,6,5,6,10,12,11,16,16,20,12,13,16,7,19,12,8,14,12,15,16,8,19,10,5,14,26,23,20,23,24,21,24,16,23,9,28,19,19,22,32,22,27,24,17,19,24,17,20,10,21,21,17,19,21,14,26,27,16,21,14,23,31,19,23,25,23,27,14,17,25,26,23,17,21,26,16,23,22,22,15,19,26,18,21,33,19,21,17,23,25,25,21,16,29,18,29,20,21,21,20,18,40,12,21,21,26,18,13,18,17,17,18,19,12,14,15,9,12,17,17,14,13,18,11,9,12,14,15,11,6,5,5,7,9,11,9,7,16,6,5,6,8,6,9,5,6,8,5,8,4,7,7,8,3,10,7,6,1,6,4,7,3,6,3,1,4,2,2,0,0,2,1,3,0,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,
10401,嘉義縣太保市,安仁里,1205,3336,1607,1729,13,9,18,19,23,14,20,19,20,20,23,14,28,23,27,33,41,37,34,46,37,42,30,30,43,40,36,28,46,48,30,32,32,31,26,33,20,17,24,19,17,23,26,15,14,25,16,18,16,16,18,19,19,14,18,23,12,24,14,8,20,19,17,20,11,17,20,34,23,36,23,39,28,41,18,35,33,38,23,31,33,43,40,46,26,37,34,32,36,46,25,28,28,38,20,20,27,28,36,21,28,22,24,19,18,14,24,19,12,17,13,15,14,14,9,7,17,14,12,16,10,12,14,8,11,15,14,21,20,7,12,7,5,8,5,10,5,7,5,4,9,9,9,2,4,5,8,8,3,7,2,9,9,5,1,2,3,5,5,2,1,4,5,4,2,1,1,4,3,5,2,3,1,1,3,1,1,2,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,嘉義縣太保市,崙頂里,328,985,514,471,2,5,3,1,5,4,4,1,2,6,2,3,3,4,3,4,3,6,4,1,0,1,3,3,4,1,3,3,4,5,4,8,4,4,7,11,6,11,14,8,6,6,9,8,4,8,3,7,7,6,9,5,6,5,8,2,1,4,6,6,7,6,8,5,1,7,8,9,7,6,10,4,2,4,7,7,5,10,7,7,14,9,8,7,9,5,6,10,12,8,8,5,17,6,5,8,6,4,8,7,9,9,6,8,9,2,10,5,8,7,6,7,11,5,6,3,8,7,12,6,8,5,4,6,7,3,9,6,5,6,7,10,8,2,4,5,4,4,3,5,3,3,7,5,2,5,4,3,8,9,3,5,6,3,5,4,3,4,4,3,2,6,2,3,7,5,6,3,6,3,1,2,1,2,0,2,2,3,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,
10401,嘉義縣太保市,後庄里,160,602,312,290,0,4,5,2,4,4,1,1,0,4,2,4,4,1,1,6,0,1,1,1,1,3,3,2,3,1,1,5,4,4,5,2,3,5,2,7,7,3,5,3,6,4,5,3,6,4,2,6,4,4,4,3,6,5,7,0,6,4,6,4,6,6,4,4,4,4,8,7,7,4,4,8,11,2,4,4,3,4,4,3,2,4,2,4,4,6,5,5,5,0,5,4,5,4,6,0,9,3,5,5,4,0,3,4,6,6,5,3,1,7,4,1,4,7,3,7,5,7,6,3,5,3,5,1,8,7,6,6,6,1,1,2,4,2,3,4,0,2,1,1,1,2,0,2,0,1,1,1,2,1,3,3,1,1,2,2,2,5,3,2,2,2,2,2,0,1,1,0,3,3,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10401,嘉義縣太保市,後潭里,596,1943,1016,927,10,5,7,7,10,8,6,6,7,9,11,5,4,8,5,10,5,8,8,10,5,12,13,12,9,8,9,10,15,11,7,10,10,9,15,18,22,14,12,13,17,6,17,11,12,8,12,11,13,5,10,6,8,18,15,10,16,9,9,18,19,16,20,14,13,11,21,19,20,19,14,23,21,15,25,14,13,14,20,10,17,8,10,15,9,10,13,10,12,14,17,9,19,10,18,6,16,13,22,10,8,15,14,19,13,17,11,13,21,13,27,11,17,17,14,18,15,7,13,9,15,7,13,11,11,6,21,10,14,10,8,12,9,13,6,6,6,1,5,4,5,7,5,12,7,10,6,7,4,7,6,11,6,6,8,11,7,6,6,8,7,10,1,7,6,5,5,9,3,7,8,9,2,8,1,5,0,3,2,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,嘉義縣太保市,新埤里,480,1492,791,701,1,3,3,3,6,6,4,2,2,5,2,2,6,5,5,0,3,6,11,6,6,6,7,8,6,11,10,5,8,9,10,11,10,9,13,11,6,8,10,10,12,12,12,10,11,9,8,10,10,12,15,12,12,8,13,9,10,8,11,10,9,12,14,10,12,12,11,8,16,5,6,3,10,11,3,12,9,13,10,10,9,9,8,10,10,14,9,6,11,10,10,9,17,8,15,16,10,13,11,12,15,12,15,11,20,12,23,7,17,18,18,7,15,7,12,8,17,10,13,6,14,13,15,8,6,11,11,8,9,5,12,6,12,6,8,2,3,4,2,4,7,5,6,6,4,5,6,13,5,6,4,3,6,9,4,3,4,4,4,5,6,5,2,6,5,6,1,6,1,4,3,4,2,2,2,4,2,2,2,1,1,2,0,1,3,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,
