統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,澎湖縣馬公市,中央里,253,615,313,302,1,1,2,1,1,3,0,0,1,2,1,0,5,2,1,4,4,1,2,3,2,5,1,0,1,5,1,1,3,3,6,3,1,2,1,1,6,2,3,2,2,2,5,5,1,3,1,2,11,3,4,3,5,6,5,4,3,5,2,3,4,3,5,4,2,2,4,5,5,3,7,5,5,6,2,4,7,7,4,4,6,3,5,8,6,2,5,2,5,4,3,5,6,2,1,5,7,3,6,6,8,3,4,0,8,9,6,6,4,4,3,6,10,5,2,4,9,3,6,5,1,2,0,5,7,2,7,5,2,5,3,8,3,2,3,2,7,8,0,2,5,2,2,3,2,3,2,3,2,3,5,4,1,4,2,1,5,3,4,4,0,4,2,1,2,1,0,1,2,1,1,2,1,5,1,2,0,2,0,1,0,1,0,1,1,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
10401,澎湖縣馬公市,中興里,396,899,456,443,1,2,0,4,0,0,2,2,4,3,3,4,6,4,3,1,4,3,1,5,2,3,6,6,3,2,1,2,5,7,1,2,2,3,9,5,5,10,6,6,7,6,12,10,8,6,12,7,8,10,7,7,7,8,5,6,6,4,11,7,12,10,8,5,14,4,2,7,6,6,8,6,13,7,4,7,8,6,10,3,6,5,5,12,8,12,10,6,10,5,8,3,7,4,10,10,5,8,5,2,6,3,8,5,4,8,7,7,7,14,10,11,8,3,4,5,3,3,14,7,5,5,8,8,5,2,5,5,1,2,2,4,1,4,0,2,1,6,3,2,1,3,1,3,2,4,3,3,1,1,0,4,4,5,2,2,2,6,2,7,4,7,4,5,1,3,3,1,2,1,2,1,5,2,2,3,1,2,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,澎湖縣馬公市,五德里,147,295,164,131,0,1,0,1,1,0,1,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,4,3,2,0,0,4,2,1,6,1,3,3,9,2,5,6,6,2,3,1,5,4,3,4,5,2,4,1,6,2,2,2,2,3,3,5,0,3,2,3,0,3,2,0,0,1,2,3,2,1,1,1,1,1,2,2,1,2,1,3,4,3,1,1,4,1,3,1,2,1,4,0,0,4,2,3,3,2,4,2,1,0,1,1,4,1,4,1,2,2,4,3,0,1,2,3,0,1,1,0,0,0,5,0,3,0,0,0,3,1,0,3,1,1,0,1,0,2,0,1,0,0,1,0,0,3,3,0,1,3,3,0,0,1,0,1,2,2,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,澎湖縣馬公市,井垵里,137,453,227,226,3,6,1,1,1,5,2,3,5,3,1,2,1,1,2,2,0,4,1,5,1,3,2,3,2,0,1,2,3,0,5,1,4,3,4,2,2,3,3,4,5,1,5,4,1,3,4,1,1,3,1,0,5,4,2,0,2,1,2,4,5,2,5,4,5,5,7,2,2,7,5,2,3,2,2,7,4,4,6,3,3,5,4,5,5,4,3,3,4,3,6,3,5,6,4,4,2,3,2,8,0,2,5,2,7,3,2,1,4,1,2,3,5,3,4,2,1,3,5,2,1,1,3,2,1,4,2,2,3,1,3,0,0,1,1,1,1,2,0,1,1,0,4,2,0,2,3,1,2,1,0,2,0,1,0,2,0,1,1,0,1,0,0,3,0,1,3,2,0,2,2,1,1,1,3,2,0,2,1,2,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10401,澎湖縣馬公市,光復里,923,2340,1116,1224,8,14,6,6,9,12,19,9,5,4,5,10,7,9,4,13,6,7,10,5,7,11,7,4,21,8,11,15,9,13,12,10,14,11,13,15,14,12,14,15,14,17,20,12,20,19,20,19,23,16,13,13,19,19,21,21,11,18,19,15,17,12,14,18,21,17,19,19,18,23,18,27,12,26,19,13,23,25,11,19,16,6,14,15,10,15,17,13,8,16,10,15,14,12,16,20,12,26,15,15,18,15,24,13,13,27,22,20,23,20,15,18,21,25,11,29,22,14,21,18,17,13,19,14,11,19,12,18,18,15,11,14,9,11,8,10,4,17,6,8,8,13,6,14,6,9,9,8,6,19,8,7,6,10,10,10,8,8,8,12,3,9,5,5,4,3,7,7,5,4,5,5,7,6,3,2,4,2,2,2,3,1,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
10401,澎湖縣馬公市,光明里,574,1396,699,697,7,5,4,6,7,6,5,3,3,3,6,4,6,5,3,9,7,1,6,2,8,4,3,4,2,4,6,3,7,5,8,6,3,9,5,6,6,6,3,9,5,12,17,7,17,8,9,9,17,11,14,14,6,12,10,14,16,10,17,6,12,14,21,10,13,11,15,13,8,7,6,9,15,13,9,13,14,12,9,6,7,6,10,3,8,18,9,9,9,8,9,5,8,13,9,6,8,10,9,11,6,8,14,15,10,11,10,8,8,12,14,19,12,13,11,7,8,14,11,9,10,6,12,11,9,7,11,8,5,6,3,5,6,14,7,8,4,5,2,7,4,8,3,6,5,2,4,9,5,4,3,4,4,7,3,3,4,9,5,7,4,7,5,7,4,4,5,2,5,3,8,4,3,2,5,5,1,1,1,4,0,0,2,1,0,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,
10401,澎湖縣馬公市,光榮里,1860,4713,2274,2439,12,18,8,11,21,18,15,12,15,18,12,12,8,18,25,18,21,11,18,14,26,19,18,12,17,18,19,15,26,21,19,21,27,23,31,32,30,37,31,33,38,31,41,41,38,44,32,32,41,32,29,30,37,47,35,32,29,32,45,41,34,31,39,35,34,36,40,37,43,38,38,40,35,32,37,31,34,48,29,45,28,37,48,39,33,31,30,33,39,37,37,40,44,41,42,34,36,25,32,44,30,37,31,44,35,45,44,56,42,48,32,37,29,37,36,39,35,39,34,32,30,29,27,32,21,31,18,38,19,32,21,33,22,18,9,30,14,22,10,17,12,24,7,20,6,21,10,16,16,16,3,21,11,15,7,16,14,14,11,14,7,11,7,14,5,7,15,10,15,6,15,6,17,7,15,4,13,7,7,6,7,5,8,4,3,0,1,0,4,1,2,0,1,0,0,0,0,1,0,0,0,0,
10401,澎湖縣馬公市,光華里,320,844,480,364,9,7,9,2,14,11,8,3,5,2,8,4,7,1,5,5,5,6,4,5,1,4,4,4,2,4,3,2,5,7,8,7,12,17,14,16,10,7,4,11,6,3,10,6,15,4,9,3,9,7,8,4,15,2,8,5,9,9,12,7,12,12,9,11,19,8,14,10,9,8,8,7,18,11,12,9,7,6,8,7,5,8,7,3,8,5,6,2,5,3,5,4,7,3,2,3,6,6,4,1,3,1,1,2,4,3,6,3,1,3,3,3,1,2,4,3,1,4,2,3,0,1,0,3,5,6,3,3,2,1,5,2,2,3,1,1,1,1,1,1,1,1,1,0,3,0,2,1,5,0,1,1,2,0,1,0,2,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,
10401,澎湖縣馬公市,前寮里,382,1014,536,478,9,7,7,10,6,3,4,4,5,5,1,7,4,2,3,5,2,1,0,3,3,1,2,2,3,3,4,1,9,5,4,3,3,6,5,7,9,7,6,4,8,6,9,6,5,7,11,10,12,12,8,10,15,9,12,13,7,8,10,6,10,9,10,14,15,9,23,10,14,10,10,8,10,11,5,11,14,4,6,6,9,7,8,8,3,5,7,6,7,3,4,6,3,6,6,10,8,7,4,5,12,5,10,10,10,9,7,6,13,11,12,4,5,5,5,3,12,5,10,4,4,11,2,6,6,5,5,3,2,4,5,6,4,1,5,3,1,3,2,1,3,3,1,2,1,4,2,4,3,0,3,1,2,2,3,2,1,2,2,3,2,1,5,4,2,2,1,1,2,2,0,3,0,3,1,1,3,3,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,澎湖縣馬公市,啟明里,411,1093,556,537,3,6,8,2,3,4,4,9,3,1,3,2,0,6,3,1,6,7,5,7,9,4,4,1,5,3,2,2,3,6,4,3,6,6,8,7,6,3,7,7,5,8,7,5,6,7,10,4,9,6,4,7,10,5,7,3,4,5,9,7,6,12,7,7,10,10,11,13,14,8,12,13,8,11,11,12,11,8,10,10,3,6,11,6,12,9,6,8,10,9,8,10,4,8,5,5,11,9,7,5,3,8,4,7,9,11,12,3,7,3,7,7,13,7,13,12,8,9,5,9,9,6,9,3,9,9,10,12,11,5,9,6,5,9,5,4,4,7,2,2,5,2,7,4,3,8,5,7,2,7,4,6,3,5,4,4,7,4,2,4,6,5,1,4,2,0,2,2,2,1,3,2,0,2,1,2,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
