統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,彰化縣彰化市,三村里,343,1364,702,662,5,7,2,4,7,5,3,6,5,3,4,4,8,4,2,3,4,10,5,6,5,4,5,10,7,5,3,9,6,2,9,11,8,7,17,8,8,11,4,17,11,11,9,12,13,19,17,15,11,9,14,10,15,9,12,17,12,13,11,13,4,13,16,11,15,12,14,9,11,10,8,7,13,9,13,6,8,7,5,8,12,10,9,7,4,7,11,8,10,7,14,8,11,7,16,11,10,12,8,10,10,8,12,13,13,14,11,16,14,10,18,9,12,10,14,8,10,6,13,7,4,7,14,3,12,3,7,4,6,5,6,9,6,5,5,6,4,4,1,2,4,2,4,4,7,6,3,3,1,3,7,3,3,6,2,4,2,4,2,6,5,2,2,5,3,0,1,5,1,2,3,4,3,2,0,3,0,2,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,彰化縣彰化市,下廍里,1978,6572,3219,3353,30,28,38,27,45,37,41,33,34,47,54,51,59,43,47,37,46,44,54,53,33,50,57,56,67,67,67,56,66,71,54,40,47,36,50,42,44,38,34,41,44,32,52,48,41,43,53,43,46,43,47,33,43,35,32,32,34,39,47,50,38,49,50,59,52,59,45,43,49,60,51,65,54,60,56,70,54,70,45,50,42,75,53,54,62,54,52,67,40,46,43,51,46,49,39,52,42,41,52,43,51,49,40,48,46,40,32,40,40,44,29,37,28,36,41,31,39,33,40,43,26,41,33,37,43,33,31,47,20,44,27,16,18,25,23,22,20,18,17,14,19,20,24,26,10,22,12,21,21,11,14,22,13,12,14,10,12,10,8,10,11,14,6,8,5,8,6,15,8,6,5,4,0,2,7,3,2,4,1,5,1,2,2,1,1,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,
10401,彰化縣彰化市,中央里,364,882,458,424,3,3,3,1,0,2,2,8,2,1,4,1,1,2,3,1,2,2,2,0,1,2,0,2,2,0,2,1,1,1,3,3,1,5,5,1,1,3,6,4,7,2,4,1,4,5,3,4,3,2,9,3,15,2,8,6,5,5,9,4,8,8,4,3,9,4,9,13,9,4,6,6,7,5,4,6,11,2,2,6,3,7,6,7,4,5,8,4,8,5,7,5,4,4,5,6,9,13,7,4,5,6,6,3,9,5,6,8,7,8,9,6,7,12,7,6,3,16,17,9,6,9,5,7,10,5,13,9,7,6,6,6,6,2,8,4,6,5,0,3,6,7,8,5,4,6,3,2,5,6,11,2,6,10,3,7,2,3,2,3,6,9,3,2,1,4,1,4,3,1,2,4,1,3,0,2,0,5,2,1,2,0,0,3,1,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
10401,彰化縣彰化市,中山里,343,972,493,479,4,3,6,4,10,3,5,5,5,4,5,1,8,6,7,4,8,5,10,5,4,0,3,7,4,2,4,3,6,4,6,2,1,3,6,4,8,4,8,4,4,3,6,4,12,9,9,4,9,7,7,8,6,4,7,9,4,4,13,7,10,10,12,10,5,13,9,14,7,6,11,2,5,7,3,4,4,4,4,5,4,6,8,8,6,16,4,5,9,5,7,3,8,3,5,5,5,10,10,7,8,5,6,8,6,10,8,9,5,6,10,15,4,11,7,4,6,6,7,7,9,3,6,8,6,4,3,10,4,7,3,4,6,6,3,3,2,1,2,5,2,2,2,4,2,1,6,4,6,6,1,5,3,2,4,5,2,3,1,4,2,5,1,5,4,4,1,2,2,3,2,2,4,5,1,2,1,0,2,3,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,
10401,彰化縣彰化市,中庄里,991,2988,1487,1501,14,13,11,10,17,13,10,12,12,15,4,8,4,2,9,6,16,7,9,7,15,9,15,17,20,15,29,18,22,25,30,17,18,19,23,19,18,20,22,18,14,22,21,18,18,13,13,18,20,22,20,13,21,20,24,28,16,18,15,20,38,26,31,21,29,30,33,26,36,36,34,34,35,30,17,30,25,21,31,23,28,32,25,31,27,24,25,28,20,26,23,16,21,20,20,15,11,19,20,19,22,19,20,19,12,21,17,15,17,25,15,21,17,25,16,19,20,18,11,23,19,32,23,16,18,24,19,29,20,20,18,19,16,13,17,13,9,14,13,16,11,12,12,16,13,11,12,8,11,10,6,12,8,10,9,6,7,4,4,7,5,5,4,6,3,5,1,3,2,6,0,1,2,0,3,1,4,3,1,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10401,彰化縣彰化市,中正里,694,1908,925,983,4,4,12,8,4,7,11,10,8,6,9,8,15,9,10,6,12,13,8,8,17,10,13,10,17,19,17,9,19,23,13,20,14,11,11,12,18,16,17,11,15,12,15,11,13,5,9,8,9,13,10,12,19,18,10,13,11,12,14,14,13,19,13,7,9,14,15,17,8,10,9,20,12,9,14,7,15,15,13,19,14,12,6,18,8,11,14,18,11,18,22,17,9,16,10,12,16,21,16,12,13,16,15,12,13,12,16,16,11,11,8,13,15,11,13,13,11,11,8,12,11,10,15,13,5,21,10,12,12,12,6,9,15,8,6,5,2,7,5,6,6,8,5,5,6,10,6,9,4,4,8,11,5,10,2,8,4,12,6,5,7,5,8,6,2,3,4,6,2,3,5,6,5,1,2,3,2,3,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
10401,彰化縣彰化市,五權里,1671,5211,2484,2727,26,19,23,23,29,31,23,24,24,14,33,21,31,30,25,34,31,20,30,30,39,34,27,38,49,34,42,45,41,38,45,38,36,39,36,41,42,41,44,48,25,37,41,30,37,41,45,34,57,47,34,33,33,37,38,28,34,39,37,38,47,35,48,38,36,36,41,57,44,53,50,51,49,61,27,47,52,57,39,60,52,50,43,44,28,41,40,38,32,33,30,35,32,46,26,38,41,43,39,45,33,34,28,37,29,51,29,40,34,52,28,31,38,35,21,32,35,43,32,36,30,41,19,41,14,37,31,29,28,32,16,20,19,26,24,19,16,15,9,10,9,11,6,10,12,10,12,7,8,9,10,11,10,13,6,6,3,13,7,11,7,6,7,9,3,9,4,4,2,5,3,5,0,6,4,1,2,1,0,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10401,彰化縣彰化市,介壽里,1332,2968,1566,1402,14,7,7,8,9,9,9,15,16,9,15,8,14,15,13,10,15,7,11,8,16,7,4,7,10,1,8,9,13,7,7,14,14,12,21,14,18,11,24,7,15,14,27,19,23,14,22,14,27,18,16,18,24,20,20,22,21,16,20,17,19,19,18,24,25,15,26,20,20,22,17,20,13,18,21,20,22,14,31,20,9,13,13,24,25,16,18,18,24,20,17,19,21,22,31,27,26,21,35,22,28,36,22,29,37,35,30,18,43,20,37,21,36,33,28,30,27,24,28,23,33,15,19,19,21,20,24,14,20,20,16,16,15,13,12,14,9,17,11,11,14,9,9,10,10,13,11,11,7,18,6,19,8,16,8,15,6,14,3,7,5,9,7,7,8,12,4,14,8,4,7,6,8,8,10,7,4,8,4,7,3,2,4,1,3,1,6,2,1,2,1,1,0,0,0,0,0,0,0,0,1,0,
10401,彰化縣彰化市,信義里,435,1186,554,632,2,2,2,3,8,5,6,4,6,6,5,7,9,12,7,11,8,13,8,11,13,17,9,14,12,9,14,10,13,8,11,7,5,13,9,11,10,4,10,6,4,10,10,6,6,5,6,7,7,8,3,6,7,5,4,2,0,3,5,3,4,9,3,8,2,6,5,12,9,7,5,7,4,10,6,11,9,16,3,11,7,10,6,7,7,8,8,5,5,9,10,10,7,5,6,11,4,8,8,8,9,9,9,4,4,6,15,8,4,9,6,10,8,6,8,8,12,7,10,6,11,4,5,7,8,12,9,6,10,13,8,7,6,5,4,7,4,4,0,5,4,2,5,2,5,8,8,2,2,4,6,4,4,2,3,6,4,4,5,5,5,4,3,5,3,8,3,6,0,3,2,1,0,2,1,2,0,2,2,5,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10401,彰化縣彰化市,光南里,636,1760,852,908,4,5,6,5,6,10,8,9,5,13,14,8,14,19,14,10,12,12,6,13,10,9,4,6,1,2,9,8,11,10,6,7,11,8,16,12,17,7,13,12,10,8,13,11,15,8,13,7,11,11,8,7,17,16,9,12,13,13,18,11,12,15,17,14,11,12,13,13,10,17,17,8,12,18,21,15,16,14,8,9,8,13,9,18,11,22,8,16,12,11,12,11,18,14,10,15,11,18,17,13,11,16,11,14,23,15,6,13,13,15,18,10,10,7,9,19,15,21,10,17,15,7,10,6,10,8,14,15,5,15,6,10,10,11,6,9,6,5,5,4,3,7,8,7,3,2,5,4,5,6,4,7,5,10,2,5,7,2,5,4,1,11,5,7,3,3,1,5,1,4,3,1,6,3,1,1,0,3,2,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
