統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,苗栗縣苗栗市,上苗里,780,2019,1001,1018,11,9,5,7,3,8,6,12,6,6,15,12,15,13,15,10,11,13,14,4,15,12,5,10,8,9,9,6,15,14,14,6,11,10,12,9,9,13,20,19,9,11,9,9,11,12,9,15,17,14,6,11,12,17,16,15,10,10,12,12,12,23,13,15,11,14,10,11,21,10,15,17,16,15,10,10,19,16,12,10,10,12,14,12,12,10,13,22,12,10,13,22,13,9,13,12,15,12,14,15,15,14,6,17,17,7,21,14,12,20,19,17,15,13,20,22,23,9,14,15,12,15,12,6,19,13,12,17,13,21,11,12,6,8,14,13,10,7,7,6,9,6,3,7,9,13,7,11,10,10,8,9,7,10,13,11,9,6,6,2,4,6,4,1,7,9,3,5,4,5,4,3,2,9,5,4,3,3,3,5,1,1,0,5,2,2,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,
10401,苗栗縣苗栗市,中苗里,542,1435,699,736,11,5,5,10,6,8,3,6,6,1,7,10,9,8,11,9,6,8,9,8,10,5,17,9,12,7,12,9,6,16,12,10,11,8,11,7,10,5,12,15,11,11,11,8,8,7,9,6,7,12,11,6,8,9,7,14,4,8,9,13,7,10,7,10,14,11,9,9,9,7,10,8,12,12,8,14,12,12,11,10,13,15,8,14,8,9,12,13,10,15,9,9,10,5,13,10,9,14,13,10,9,15,6,7,12,10,10,7,9,14,13,8,9,8,8,9,7,9,10,11,12,9,8,7,6,9,4,4,8,8,4,11,4,4,6,13,2,5,2,10,5,7,0,2,5,8,2,6,5,5,3,6,3,2,5,6,3,3,6,2,4,2,1,5,2,2,4,7,9,4,1,2,1,4,2,2,3,3,4,0,2,1,0,0,1,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,
10401,苗栗縣苗栗市,勝利里,1511,4602,2311,2291,29,22,26,19,20,22,21,18,17,12,6,9,9,17,19,8,12,15,16,10,15,8,13,10,21,9,24,16,26,22,16,30,27,22,32,31,24,25,35,39,36,32,40,33,30,27,35,36,35,45,43,34,40,49,44,35,35,31,37,38,43,40,34,53,46,40,36,39,39,38,44,36,36,35,30,29,35,37,28,32,24,18,33,37,31,24,42,28,27,36,38,33,28,32,36,24,37,21,36,36,38,23,33,50,42,44,32,37,45,42,38,49,32,36,32,28,36,50,31,32,38,29,27,25,43,34,23,28,14,33,21,26,13,16,14,17,22,15,15,18,12,14,17,14,11,17,21,18,7,26,18,13,12,13,18,13,11,20,7,9,10,20,6,12,16,14,7,11,6,4,10,10,5,7,6,6,13,8,7,1,6,3,3,1,1,4,3,2,1,2,0,0,0,2,0,1,0,1,0,1,2,0,
10401,苗栗縣苗栗市,北苗里,2170,6271,3083,3188,27,29,27,30,31,31,23,23,23,14,29,39,26,38,36,34,29,29,25,27,28,23,32,27,39,31,42,44,45,43,39,37,31,42,64,34,39,46,42,39,54,33,56,40,49,51,47,58,44,37,39,38,38,40,37,55,31,41,51,34,49,45,60,49,51,65,66,61,47,55,56,61,47,46,42,39,49,41,26,62,42,43,36,45,53,49,49,53,38,40,49,40,41,60,40,37,47,51,41,44,38,52,53,59,35,49,35,35,52,53,46,43,44,44,52,48,39,58,40,50,34,54,44,44,51,46,44,48,36,41,29,37,27,26,31,26,15,14,19,12,16,22,20,21,22,31,25,20,23,10,19,15,12,23,15,17,18,12,8,20,8,13,12,8,14,8,12,9,9,7,4,9,11,6,8,6,1,4,2,7,3,1,1,2,1,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,
10401,苗栗縣苗栗市,南勢里,807,2412,1269,1143,9,12,17,10,13,20,14,9,10,8,15,8,12,8,7,3,9,6,5,6,6,12,7,8,12,11,12,10,20,11,12,17,11,8,20,19,11,27,26,17,31,20,21,23,26,21,20,13,25,20,11,24,23,17,25,15,26,19,18,16,18,15,16,17,13,19,15,26,27,10,16,18,17,15,21,12,21,11,19,9,14,12,11,13,13,20,14,16,29,23,19,14,18,14,18,17,25,19,25,11,24,25,19,18,24,30,14,18,19,24,22,20,13,15,22,18,18,10,12,13,22,13,17,10,20,14,15,19,11,9,12,6,8,9,7,8,11,8,6,8,5,10,2,4,1,5,8,7,4,12,8,9,4,6,5,4,4,10,6,8,3,8,5,2,3,7,12,3,6,3,9,5,4,6,5,4,5,1,5,1,2,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
10401,苗栗縣苗栗市,嘉新里,1088,3582,1797,1785,26,26,20,19,16,19,16,15,15,13,17,10,10,11,13,18,12,11,16,13,12,13,11,13,13,15,17,18,14,15,22,25,18,15,18,17,23,26,23,26,20,26,29,32,25,20,27,21,39,28,26,30,27,35,33,22,37,30,40,24,36,35,27,31,32,38,36,31,25,28,27,31,34,26,27,30,31,26,18,23,19,18,18,18,15,18,25,13,31,22,30,23,22,23,21,14,21,18,20,24,29,29,25,32,25,31,26,39,35,21,30,34,29,33,28,27,32,41,40,25,26,28,33,22,25,28,26,22,19,22,20,15,16,16,14,13,10,18,10,13,10,11,14,13,9,16,13,14,12,9,10,8,8,17,7,9,7,9,6,3,5,9,6,10,11,6,4,10,7,6,2,6,2,6,5,6,0,3,1,1,1,1,3,2,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,2,1,0,
10401,苗栗縣苗栗市,嘉盛里,1346,4355,2182,2173,24,20,10,20,16,23,15,35,19,9,15,10,9,20,16,20,25,19,17,15,24,20,22,19,21,24,25,19,25,25,33,23,17,30,32,27,25,25,31,31,28,30,33,25,37,32,42,24,34,39,27,37,35,33,37,31,34,39,43,39,25,20,39,35,39,42,47,26,37,44,39,42,27,23,38,22,32,44,34,23,29,29,39,19,27,38,38,30,30,31,23,33,40,32,30,22,25,31,29,35,17,35,27,33,37,38,43,37,29,27,32,25,28,26,29,36,35,32,32,31,16,19,25,19,26,31,27,30,25,24,19,23,18,19,20,21,15,22,15,14,17,17,16,16,21,23,21,13,11,19,12,26,11,13,17,13,10,3,9,16,8,9,9,9,9,8,13,9,9,10,8,8,6,7,3,6,6,2,1,4,3,6,2,3,1,3,3,1,0,2,1,0,1,0,0,0,1,0,0,0,0,1,
10401,苗栗縣苗栗市,大同里,261,662,315,347,3,1,5,0,7,4,1,2,1,2,2,2,0,3,1,4,5,3,3,3,0,3,4,2,2,4,3,2,1,1,3,2,1,1,1,0,6,1,4,4,2,1,5,3,4,4,4,4,2,7,5,7,3,6,2,3,3,9,5,4,3,4,6,3,7,3,5,8,3,7,7,4,9,5,3,5,9,4,3,5,4,4,4,4,2,6,8,6,6,4,1,4,3,7,3,2,6,4,3,7,3,4,2,4,3,4,7,1,4,2,10,4,6,7,9,7,7,3,5,9,2,5,3,9,3,5,6,6,8,7,2,7,4,2,2,6,3,5,5,1,2,2,3,4,0,2,3,2,2,6,5,3,2,3,2,4,2,2,0,5,4,3,2,2,1,0,1,3,2,4,0,1,1,2,4,3,0,2,0,1,0,0,1,2,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,
10401,苗栗縣苗栗市,建功里,1890,5333,2580,2753,19,15,21,14,26,31,23,16,10,18,24,29,41,19,36,21,31,27,33,28,27,38,51,36,44,30,42,40,45,41,42,42,45,27,40,27,47,37,44,41,46,36,37,32,32,35,41,41,44,25,40,31,41,28,35,37,34,39,37,41,48,38,42,38,38,49,33,36,31,57,39,39,33,33,32,52,35,37,23,52,34,46,31,49,36,45,37,40,40,43,34,32,36,36,32,41,36,41,26,47,43,54,21,30,46,45,34,41,23,36,34,45,33,41,38,50,27,41,35,38,33,48,29,25,24,50,30,33,29,25,21,26,19,25,21,26,25,21,14,16,17,16,16,17,18,22,17,21,17,23,15,18,17,10,21,10,12,21,13,10,7,13,8,15,6,10,4,8,5,9,6,4,7,8,2,6,5,5,5,3,2,2,1,3,0,1,1,5,1,3,2,0,0,0,1,0,0,0,0,0,1,1,
10401,苗栗縣苗栗市,恭敬里,610,1671,809,862,11,11,9,12,15,6,7,7,3,9,5,10,5,4,4,11,6,8,8,8,11,4,4,4,6,7,8,3,9,7,9,13,8,10,9,7,9,12,9,12,11,12,11,14,12,13,12,11,10,10,12,9,15,7,12,10,10,14,11,14,19,13,14,10,16,20,16,16,15,13,13,18,11,19,12,16,6,8,11,6,11,10,10,12,14,14,9,10,9,11,11,13,16,11,11,12,15,12,15,7,16,16,15,25,15,15,9,12,11,19,12,11,11,11,11,19,14,18,15,12,8,9,10,7,8,8,12,12,7,8,11,11,5,6,3,6,4,5,3,2,8,5,10,6,5,6,7,11,3,5,8,9,4,7,7,7,5,6,4,4,2,4,3,3,2,2,1,3,5,4,0,2,1,4,1,4,2,3,2,0,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
