統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10401,金門縣金城鎮,北門里,1464,4690,2409,2281,33,24,28,17,24,24,24,26,16,24,18,12,13,14,26,17,19,16,19,11,16,16,24,15,24,16,21,21,32,21,23,17,21,17,27,23,31,39,23,25,28,27,32,26,39,40,35,45,49,40,38,24,40,41,33,26,30,36,28,31,34,36,32,51,30,44,38,33,28,43,41,31,40,31,37,44,37,28,32,33,32,38,39,22,32,38,33,40,42,41,34,34,50,39,35,37,31,39,48,30,47,37,43,30,39,34,44,35,51,49,43,47,46,36,45,38,44,59,31,36,42,41,42,36,40,25,37,28,24,22,29,24,19,19,18,17,16,14,20,15,13,12,12,10,14,11,19,12,4,13,13,14,8,8,14,7,8,17,5,9,5,4,7,8,5,5,4,10,2,2,4,3,1,2,2,6,4,5,1,2,2,4,0,2,0,4,0,2,1,1,0,1,1,1,0,0,1,0,0,1,0,0,
10401,金門縣金城鎮,南門里,1881,6015,2979,3036,37,32,30,36,46,32,25,23,27,18,25,23,21,21,17,26,22,16,19,24,21,19,22,14,23,35,24,23,36,25,20,28,21,26,37,40,39,35,47,58,40,40,37,49,46,53,39,39,44,42,47,41,39,66,48,44,51,38,37,46,62,56,50,58,57,46,49,57,53,53,53,63,44,52,36,49,52,59,38,38,43,47,46,40,48,40,42,50,50,41,49,35,38,44,43,44,47,54,60,52,48,50,48,47,48,52,51,37,53,51,57,44,64,37,52,49,54,54,34,45,61,62,47,34,43,52,31,36,34,30,25,19,16,26,25,26,12,14,12,12,14,15,16,11,14,19,24,14,11,18,13,20,8,21,22,13,9,13,14,14,11,11,19,9,9,13,5,10,4,9,3,12,3,6,3,7,2,5,3,5,1,5,1,4,1,4,1,3,2,2,1,1,1,2,0,1,0,1,0,0,2,1,
10401,金門縣金城鎮,古城里,1137,3817,1900,1917,17,20,29,17,31,23,27,16,17,14,17,17,10,13,12,14,9,13,10,10,13,5,11,11,17,6,11,6,15,9,9,10,15,13,19,22,16,24,24,18,35,26,25,26,21,30,25,33,25,23,28,26,28,33,23,32,27,34,32,31,31,42,31,32,35,41,25,35,28,40,37,35,36,29,23,36,31,35,21,31,29,28,27,30,33,31,34,36,38,33,33,25,33,26,43,35,38,43,32,42,33,33,32,34,36,31,39,29,36,39,33,26,30,25,33,38,39,25,31,27,34,36,20,25,18,25,17,19,20,19,19,22,14,15,12,9,14,10,8,8,10,13,8,6,6,14,13,8,8,14,12,10,10,8,12,10,12,4,6,9,17,10,4,4,6,7,2,7,2,3,1,6,2,4,5,1,2,7,2,4,0,2,0,2,1,5,1,2,1,1,0,0,1,0,1,0,0,0,1,0,0,1,
10401,金門縣金城鎮,東門里,1675,5691,2846,2845,35,25,22,27,41,33,27,25,18,21,24,22,20,10,21,24,19,31,27,23,21,25,25,22,24,32,19,22,34,23,25,30,31,22,22,34,35,26,35,37,38,45,50,35,45,57,45,48,48,45,34,48,52,43,51,35,44,45,42,36,39,53,34,39,51,45,33,45,39,47,34,48,53,41,30,40,32,42,42,56,32,49,37,39,42,31,54,46,53,47,40,53,49,53,51,50,48,52,64,56,63,53,58,53,64,56,44,42,62,51,57,45,75,48,53,38,46,37,39,40,61,46,35,31,36,47,21,32,35,24,22,21,18,18,22,16,13,13,15,20,15,13,12,14,13,11,12,15,12,16,12,15,13,21,10,13,12,13,14,9,11,11,5,13,9,6,4,7,4,11,4,8,1,6,4,4,0,4,3,3,2,2,1,6,0,3,1,2,0,1,1,2,0,0,0,0,0,0,0,0,1,2,
10401,金門縣金城鎮,珠沙里,902,2933,1507,1426,17,12,15,7,9,8,12,10,6,6,5,6,7,7,7,2,4,5,13,6,9,11,9,8,4,9,7,6,9,14,10,8,9,9,15,12,11,16,12,27,24,19,28,17,27,23,15,20,26,25,28,20,22,30,28,18,32,21,21,18,18,26,20,23,10,26,29,26,24,24,21,24,17,24,21,18,25,18,15,19,17,19,15,10,20,14,26,20,24,27,28,20,33,26,24,20,32,24,35,32,32,33,37,29,20,34,28,25,25,33,39,40,34,19,36,34,28,26,37,30,24,32,12,9,28,22,20,18,16,16,21,12,13,10,6,15,9,4,12,7,9,11,11,10,9,8,6,9,13,8,10,7,5,3,13,12,10,13,7,6,7,5,5,5,3,6,3,4,7,3,3,3,1,4,1,7,1,4,1,3,3,1,2,2,1,0,2,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,
10401,金門縣金城鎮,西門里,3355,11089,5452,5637,52,75,57,58,68,69,52,58,41,43,58,47,39,45,51,31,30,31,53,49,38,39,47,32,50,39,56,42,63,66,56,55,50,51,71,61,79,82,72,80,65,78,74,84,75,96,79,92,91,89,95,77,104,96,91,74,89,89,97,83,87,100,87,89,88,100,87,124,87,109,92,109,90,114,72,87,92,98,68,74,78,78,76,59,87,84,88,91,79,75,87,100,93,84,74,65,85,101,99,108,88,97,87,107,93,91,102,70,78,103,93,87,83,93,113,87,86,92,74,95,87,90,67,66,92,83,67,66,47,57,46,60,42,34,37,34,33,37,32,26,29,34,34,30,43,25,26,31,21,21,23,21,18,21,18,22,24,21,14,20,16,11,15,15,15,9,11,13,8,9,7,16,8,10,4,10,1,8,5,8,5,12,2,11,3,2,7,9,2,4,2,0,3,1,0,3,0,0,0,2,2,3,
10401,金門縣金城鎮,賢庵里,1383,4700,2410,2290,22,17,22,24,27,21,16,16,12,11,9,10,6,12,13,14,14,8,15,11,14,15,11,14,19,9,14,20,20,14,23,14,16,18,18,32,28,26,32,25,26,42,25,40,43,39,53,61,44,51,52,33,38,38,39,41,39,39,51,43,34,37,41,38,43,34,40,34,35,31,32,48,35,41,34,29,30,36,34,39,38,33,32,28,34,34,40,42,40,32,39,36,39,40,46,36,48,41,46,39,51,46,48,57,55,38,35,38,59,42,51,39,37,30,47,52,50,35,46,42,47,41,33,27,28,31,36,26,35,18,27,17,29,11,13,7,7,10,11,8,17,8,17,12,13,7,9,7,9,8,10,9,11,9,7,14,6,9,6,9,6,4,4,14,4,14,5,9,4,8,2,8,1,3,2,2,4,5,1,3,1,7,1,4,1,4,1,3,0,2,0,1,1,2,0,0,0,0,1,0,0,4,
10401,金門縣金城鎮,金水里,655,2129,1105,1024,9,8,12,5,14,11,6,7,7,4,6,6,2,6,9,1,6,1,4,2,3,3,7,3,6,5,3,4,13,7,6,8,10,6,11,19,14,16,20,17,9,16,13,21,16,17,13,20,14,15,17,14,15,21,16,23,16,17,12,21,17,15,21,10,23,24,20,15,23,16,24,10,17,18,18,12,17,14,14,11,13,13,14,12,22,16,15,11,17,12,24,17,19,10,13,11,11,26,20,34,20,21,20,26,18,26,27,17,21,13,19,16,23,17,27,23,24,12,24,21,24,17,16,14,24,15,12,9,12,17,12,13,12,8,6,6,3,0,3,9,3,5,4,7,5,4,6,3,8,4,5,5,0,5,7,2,8,3,7,7,9,2,4,3,4,7,6,3,1,4,3,6,2,5,1,3,2,5,1,3,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10401,金門縣金沙鎮,三山里,605,1972,984,988,3,8,9,6,6,7,5,10,2,6,4,6,4,2,4,2,6,4,0,5,6,6,9,8,4,4,8,6,6,6,10,12,4,8,14,11,14,16,12,12,20,10,11,13,17,18,18,11,14,23,10,13,13,17,18,14,5,10,15,15,11,14,11,11,15,16,15,15,14,13,14,13,7,17,11,8,13,11,8,18,14,17,20,15,13,16,13,19,22,17,21,10,16,18,16,14,27,33,20,13,23,20,21,23,21,22,18,15,24,26,16,14,19,13,21,20,24,18,12,14,15,16,10,11,12,8,15,7,7,7,11,9,10,4,6,7,10,8,3,6,3,3,6,9,11,8,6,12,6,7,9,4,9,5,6,10,8,5,8,10,9,6,7,3,6,2,8,8,2,2,1,4,1,5,1,0,3,1,1,6,0,0,1,1,1,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,1,4,
10401,金門縣金沙鎮,何斗里,637,2094,1025,1069,20,9,10,10,10,6,11,6,6,5,4,2,3,3,8,5,5,6,7,6,11,4,7,10,9,6,8,6,12,15,8,5,9,5,10,14,14,16,10,15,7,30,18,13,11,10,16,23,21,17,20,13,18,14,22,23,8,14,22,20,20,10,12,18,18,19,9,15,23,23,8,27,10,9,9,29,17,16,11,20,15,14,17,18,9,17,17,19,12,18,21,19,20,14,16,13,24,19,17,22,27,18,13,17,24,16,14,16,11,14,15,25,16,19,29,8,17,21,17,19,21,13,14,10,12,15,8,11,10,10,11,14,15,5,5,7,7,6,8,4,7,9,5,5,5,9,6,8,4,4,3,5,5,5,11,3,4,5,4,8,8,6,3,6,2,4,1,2,2,4,1,3,2,3,0,4,1,2,2,4,0,2,1,2,2,2,0,1,1,2,0,0,0,0,0,3,0,0,1,0,0,0,
